entry_id,parl_id,source_id,details,type,start_date,end_date,amount,source_pdf,source_pagenum
P38_ABBOTT_Tony_21_3,ABBOTT_Tony,P38_ABBOTT_Tony,"Fuel 4 Dec to 26 Dec 15",Fuel,2015-12-04,2015-12-26,263.84,P38_ABBOTT_Tony.pdf,21
P38_ABBOTT_Tony_21_4,ABBOTT_Tony,P38_ABBOTT_Tony,"Lease 8 Dec 15 to 7 Jan 16",Lease,2015-12-08,2016-01-07,959.87,P38_ABBOTT_Tony.pdf,21
P38_ABBOTT_Tony_9_10,ABBOTT_Tony,P38_ABBOTT_Tony,"Lease 8 Apr to 7 May 16",Lease,2016-04-08,2016-05-07,959.87,P38_ABBOTT_Tony.pdf,9
P38_ABBOTT_Tony_9_11,ABBOTT_Tony,P38_ABBOTT_Tony,"Lease 8 May to 7 Jun 16",Lease,2016-05-08,2016-06-07,959.87,P38_ABBOTT_Tony.pdf,9
P38_ABBOTT_Tony_9_12,ABBOTT_Tony,P38_ABBOTT_Tony,"Fuel 9 May to 22 May 16",Fuel,2016-05-09,2016-05-22,136.75,P38_ABBOTT_Tony.pdf,9
P38_ABBOTT_Tony_9_3,ABBOTT_Tony,P38_ABBOTT_Tony,"Fuel 4 Jan to 7 Jan 16",Fuel,2016-01-04,2016-01-07,63.30,P38_ABBOTT_Tony.pdf,9
P38_ABBOTT_Tony_9_4,ABBOTT_Tony,P38_ABBOTT_Tony,"Lease 8 Jan to 7 Feb 16",Lease,2016-01-08,2016-02-07,959.87,P38_ABBOTT_Tony.pdf,9
P38_ABBOTT_Tony_9_5,ABBOTT_Tony,P38_ABBOTT_Tony,"Fuel 2 Feb to 14 Feb 16",Fuel,2016-02-02,2016-02-14,134.37,P38_ABBOTT_Tony.pdf,9
P38_ABBOTT_Tony_9_6,ABBOTT_Tony,P38_ABBOTT_Tony,"Lease 8 Feb to 7 Mar 16",Lease,2016-02-08,2016-03-07,959.87,P38_ABBOTT_Tony.pdf,9
P38_ABBOTT_Tony_9_7,ABBOTT_Tony,P38_ABBOTT_Tony,"Fuel 5 Mar 16",Fuel,2016-03-05,0000-00-00,61.36,P38_ABBOTT_Tony.pdf,9
P38_ABBOTT_Tony_9_8,ABBOTT_Tony,P38_ABBOTT_Tony,"Lease 8 Mar to 7 Apr 16",Lease,2016-03-08,2016-04-07,959.87,P38_ABBOTT_Tony.pdf,9
