entry_id,parl_id,source_id,details,type,start_date,end_date,amount,source_pdf,source_pagenum
P36_ABBOTT_Tony_10_10,ABBOTT_Tony,P36_ABBOTT_Tony,"Lease 1 Apr to 14 Apr 15",Lease,2015-04-01,2015-04-14,464.25,P36_ABBOTT_Tony.pdf,10
P36_ABBOTT_Tony_10_11,ABBOTT_Tony,P36_ABBOTT_Tony,"Lease 8 Apr to 7 May 15",Lease,2015-04-08,2015-05-07,959.87,P36_ABBOTT_Tony.pdf,10
P36_ABBOTT_Tony_10_12,ABBOTT_Tony,P36_ABBOTT_Tony,"Fuel 13 Apr 15",Fuel,2015-04-13,0000-00-00,74.57,P36_ABBOTT_Tony.pdf,10
P36_ABBOTT_Tony_10_13,ABBOTT_Tony,P36_ABBOTT_Tony,"Fuel 1 May to 15 May 15",Fuel,2015-05-01,2015-05-15,192.90,P36_ABBOTT_Tony.pdf,10
P36_ABBOTT_Tony_10_14,ABBOTT_Tony,P36_ABBOTT_Tony,"Lease 8 May to 7 Jun 15",Lease,2015-05-08,2015-06-07,959.87,P36_ABBOTT_Tony.pdf,10
P36_ABBOTT_Tony_10_3,ABBOTT_Tony,P36_ABBOTT_Tony,"Lease 1 Jan to 31 Jan 15",Lease,2015-01-01,2015-01-31,994.85,P36_ABBOTT_Tony.pdf,10
P36_ABBOTT_Tony_10_4,ABBOTT_Tony,P36_ABBOTT_Tony,"Fuel 14 Jan to 17 Jan 15",Fuel,2015-01-14,2015-01-17,129.82,P36_ABBOTT_Tony.pdf,10
P36_ABBOTT_Tony_10_5,ABBOTT_Tony,P36_ABBOTT_Tony,"Lease 1 Feb to 28 Feb 15",Lease,2015-02-01,2015-02-28,994.85,P36_ABBOTT_Tony.pdf,10
P36_ABBOTT_Tony_10_6,ABBOTT_Tony,P36_ABBOTT_Tony,"Fuel 10 Feb to 15 Mar 15",Fuel,2015-02-10,2015-03-15,258.87,P36_ABBOTT_Tony.pdf,10
P36_ABBOTT_Tony_10_7,ABBOTT_Tony,P36_ABBOTT_Tony,"Lease 1 Mar to 14 Mar 15",Lease,2015-03-01,2015-03-14,449.28,P36_ABBOTT_Tony.pdf,10
P36_ABBOTT_Tony_10_8,ABBOTT_Tony,P36_ABBOTT_Tony,"Lease 15 Mar to 31 Mar 15",Lease,2015-03-15,2015-03-31,545.55,P36_ABBOTT_Tony.pdf,10
P36_ABBOTT_Tony_10_9,ABBOTT_Tony,P36_ABBOTT_Tony,"Fuel 17 Mar to 31 Mar 15",Fuel,2015-03-17,2015-03-31,110.69,P36_ABBOTT_Tony.pdf,10
